Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source
2006.04.03,03-Apr-06,2006,Unprovoked,USA,Florida,"Marco Island, Collier County",Wading,M,11,Minor injury to right hand & thigh,N,12h30,,CBS Broadcasting
2006.03.23,23-Mar-06,2006,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Surfing,F,28,5 puncture wounds in left calf,N,11h30,"Tiger shark, 10'  ",Honolulu Advertiser
2006.03.22,22-Mar-06,2006,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,M,17,"FATAL, but shark involvement prior to death unconfirmed",Y,,,"Cape Times, 3/24/2006, p.3"
2006.03.15,15-Mar-06,2006,Unprovoked,AUSTRALIA,New South Wales,"Bondi, Sydney",Surfing,M,15,"No injury, shark nudged surfboard",N,17h00,"Bronze whaler shark, 2 m","The Australian, 3/15/2006"
2006.02.27,27-Feb-06,2006,Unprovoked,USA,Hawaii,"Makena, Maui",Standing,F,15,Deep laceration to right calf,N,16h30,5' to 7' shark,"G.T. Kubota, Star Bulletin, 2/28/2006"
2006.02.23,23-Feb-06,2006,Invalid,USA,Hawaii,"Makena, Maui",Free diving,M,45,Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s,Y,Late afternoon,,http://www.kesq.com
2006.02.13,13-Feb-06,2006,Unprovoked,AUSTRALIA,Queensland,"Golden Beach, Caloundra",Wading,M,18,Lacerations to foot,N,11h00,,"G. Stolz, Courier-Mail, 2/14/2006"
2006.02.12.b,12-Feb-06,2006,Unprovoked,AUSTRALIA,Queensland,"Point Vernon, Hervey Bay",Swimming,M,,Puncture wound on arm,N,,,"G. Stolz, Courier-Mail, 2/14/2006"
2006.02.12.a,12-Feb-06,2006,Boat,AUSTRALIA,South Australia,"Brighton Beach, Adelaide",Fishing,M,,No injury to occupants; shark nudged the 5.3 m boat,N,12h00,4.5 m white shark,Port Adelaide Football Club
2006.02.08,08-Feb-06,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,15,2 bite marks on right calf,N,Late afternoon,Raggedtooth shark,"M. Kabeli, Dispatch Online.com; G. Brett & K. Cole, EL Museum"
2006.02.01.a,01-Feb-06,2006,Boat,USA,Hawaii,"Off Pu'u Ola'l, Makena, Maui",Kayaking,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,Afternoon,12' to 18' shark,"R. Collier, GSAF; Honolulu Advertiser, 2/1/2006"
2006.01.25,25-Jan-06,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Coffee Bay,Spearfishing,M,34,Right arm  bitten,N,14h00,,"Geremy Cliff, NSB"
2006.01.18,18-Jan-06,2006,Unprovoked,USA,California,"Santa Cruz, Santa Cruz County",Night Surfing,M,,"No injury, but 2 small nicks on wetsuit",N,22h30,,R. Collier
2006.01.15,15-Jan-06,2006,Unprovoked,AUSTRALIA,Western Australia,"Off City Beach, Perth",Scuba diving,M,52,Lacerations to left elbow,N,11h00,3.5 m white shark,"T. Peake, GSAF"
2006.01.07,07-Jan-06,2006,Unprovoked,AUSTRALIA,Queensland,"Amity Point, North Stradbroke Island",Swimming,F,21,FATAL,Y,17h15,Bull shark,"T. Peake, GSAF"
2006.01.04,04-Jan-06,2006,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,M,21,3 puncture wounds in right wrist & hand,N,16h45,4' shark,"A. Neal, scripps.com"
2006.01.01,01-Jan-06,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Soetwater,Diving for crayfish,M,49,Lacerations to little finger,N,,Said to involve a 1.5 m shark,"J.P. Botha, GSAF"
2005.12.21,21-Dec-05,2005,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Swimming,M,29,Left hand bitten,N,11h45,Tiger shark, San Francisco Gate 2/21/2005
2005.12.11,11-Dec-05,2005,Unprovoked,AUSTRALIA,Queensland,St. Crispin Reef,Spearfishing,M,44,Right forearm & elbow bitten,N,11h00,Whitetip reef shark,"Courier-Mail, 12/12/2005"
2005.12.05.R,Reported 06-Dec-2005,2005,Boat,AUSTRALIA,South Australia,"Middle Beach, 40 km north of Adelaide",Fishing,,,"No injury to occupants, hydrofoil of outboard motor bitten ",N,15h30,4 m white shark,"Melbourne Herald Sun, 12/5/2005"
2005.11.29.R,Reported 29-Nov-2005,2005,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Surfing,M,teen,Left foot bitten,N,,,wpmi.com
2005.11.27,27-Nov-05,2005,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,23,Right thumb & palm lacerated,N,13h00,4' shark,"S. Petersohn, GSAF"
2005.11.25.a,25-Nov-05,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,26,"Cut on finger, board bitten",N,11h30,,Dispatch online
2005.11.21,21-Nov-05,2005,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,30s,Left foot bitten,N,Afternoon,4' shark,Stuart News
2005.11.20,20-Nov-05,2005,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,17,Lacerations to right thigh,N,14h30,,"S. Petersohn, GSAF"
2005.11.15,15-Nov-05,2005,Provoked,SOUTH AFRICA,Eastern Cape Province,Aston Bay,Fishing for sharks,M,32,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,14h00,"Raggedtooth shark, 2.5m ",J. Visser
2005.11.12,12-Nov-05,2005,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,18,Puncture wounds to right foot,N,13h00,6' shark,"S. Petersohn, GSAF"
2005.11.02.b,02-Nov-05,2005,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,25,"No injury, board bitten",N,16h45,,"R. Collier, GSAF"
2005.11.02.a,02-Nov-05,2005,Unprovoked,USA,California,"Ocean Beach, San Francisco, San Francisco County",Surfing,M,26,"No injury, board bumped",N,07h15,12' to 14' white shark,"R. Collier, GSAF"
2005.10.29,29-Oct-05,2005,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,15,Puncture wounds to foot,N,,2' to 3' shark,"Sentinel, 1-/30/2005"
2005.10.22,22-Oct-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Uilenkraalsmond (near Gansbaai),Standing / Surfing,M,20,Right foot bitten,N,Morning,3 m shark,Cape Times
2005.10.21,21-Oct-05,2005,Unprovoked,USA,California,"Klamath River mouth, Del Norte County",Surfing,M,36,No injury,N,11h00,White shark,"R. Collier, GSAF"
2005.10.19,19-Oct-05,2005,Unprovoked,USA,California,"Salmon Beach, Sonoma County",Surfing,F,20,Leg bitten,N,10h30,18' white shark,"R. Collier, GSAF; Bay City Newswire"
2005.10.15,15-Oct-05,2005,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Wading,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,17h55,,"S. Petersohn, GSAF; Florida Today, 10/16/2005 "
2005.10.13,13-Oct-05,2005,Unprovoked,USA,Hawaii,"Honokowai, Maui",Surfing,M,22,"No injury, surfboard bitten",N,18h00,"Tiger shark, less than 10'",Hawaii Department of Land and Natural Resources
2005.10.06,06-Oct-05,2005,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Treading water/ Surfing,M,48,Five 1-inch lacerations to left foot,N,16h05,,"S. Petersohn, GSAF"
2005.10.01,01-Oct-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek",Surf-skiing,M,52,"No injury, shark bit ski",N,15h00,White shark,"Cape Argus, Cape Times, 10/3/2005"
2005.09.27.R,Reported      27-Sep-2005,2005,Unprovoked,AUSTRALIA,New South Wales,Arakoon's Little Bay,Surfing,M,28,"No injury, knocked off board",N,,"Tiger shark, 3 m ","Macleay Argues, 9/27/2005"
2005.09.24,24-Sep-05,2005,Unprovoked,AUSTRALIA,South Australia,Kangaroo Island,Surfing,M,26,Lacerations to legs,N,12h05,14' to 16' white shark,"T. Peake, GSAF"
2005.09.23,23-Sep-05,2005,Unprovoked,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",Surfing,M,44, No injury,N,Morning,Bronze whaler shark,"T. Peake, GSAF"
2005.09.22,22-Sep-05,2005,Invalid,USA,Florida,"Tigertail Beach, Collier County",Surfing,M,,Lacerations to dorsum of left foot,N,07h30,Shark involvement not confirmed,"A. Galabinski, Marco Island Sun Times, 9/22/2005"
2005.09.20,20-Sep-05,2005,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30,3' to 4' shark,"C. Creswell, GSAF; K. Galliard,  Sun News, 9/21/2005"
2005.09.11,11-Sep-05,2005,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,18,FATAL,Y,14h00,,"Post & Courier, 9/12/2005"
2005.09.07,07-Sep-05,2005,Unprovoked,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",Standing,M,15,Left foot & ankle lacerated,N,Dusk,,"Sydney Morning Herald, 9/9/2005"
2005.09.04.a,04-Sep-05,2005,Unprovoked,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",Surfing,M,40,Lacerations to right arm & thigh,N,15h00,4 m [13'] white shark,"C.Jenkin, Courier-Mail, 9/5/2005"
2005.09.02.b,02-Sep-05,2005,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Standing / Surfing,M,62,Right foot bitten,N,11h10,,"S. Petersohn, GSAF"
2005.08.24.b,24-Aug-05,2005,Unprovoked,AUSTRALIA,South Australia,Glenelg ,Scuba diving,M,23,FATAL,Y,16h10,White shark,"Adelaide Advertiser, 8/26/2005"
2005.08.24.a,24-Aug-05,2005,Unprovoked,USA,California,"Scripps, LaJolla, San Diego County",Surfing,M,37,Lower right leg lacerated,N,11h00,juvenile white shark,"R. Collier, GSAF                "
2005.08.22,22-Aug-05,2005,Invalid,USA,South Carolina,"6th Avenue North, Myrtle Beach, Horry County","Boogie boarding, kicked at object in the water",M,17,Laceration to knee,N,Afternoon,possibly a small blacktip shark,"Clay Creswell, GSAF"
2005.08.21,21-Aug-05,2005,Unprovoked,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",Swimming,M,8,Bitten underneath left arm,N,Morning,Possibly a sandbar shark or small blacktip shark,"Clay Creswell, GSAF"
2005.08.14,14-Aug-05,2005,Invalid,SOUTH AFRICA,Western Cape Province,"Milnerton Lagoon, Cape Town",,,,Human foot recovered from the water,N,,,"J. Eager, scubaradio.com; Cape Times, 8/15/2005"
2005.08.06,06-Aug-05,2005,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,14,Puncture wounds on left foot ,N,09h45,,"C. Creswell, GSAF"
2005.07.27,27-Jul-05,2005,Unprovoked,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,18h00,,"D. Salamone, GSAF"
2005.07.23,23-Jul-05,2005,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,61,"Right foot: Toes and back of foot, minor injury",N,11h30,,"D. Salamone, GSAF"
2005.07.22,22-Jul-05,2005,Invalid,USA,Florida,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Surfing,M,25,"Straight 2.5"" laceration on top of left ankle",N,11h15,Shark involvement not confirmed,"D. Salamone, GSAF"
2005.07.01,01-Jul-05,2005,Unprovoked,USA,Florida,"Boca Grande, Lee County",Standing,M,19,Ankle bitten,N,11h30,,"E. Ritter, GSAF"
2005.06.27,27-Jun-05,2005,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,16,"Leg severely bitten, surgically amputated",N,11h30,Bull shark,"E. Ritter, GSAF"
2005.06.25,25-Jun-05,2005,Unprovoked,USA,Florida,"Destin, Walton County",Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15,1.8 m [6'] bull shark,"E. Ritter, GSAF"
2005.06.18,18-Jun-05,2005,Invalid,USA,Hawaii,Maui,Swimming,M,49,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",N,08h00,,www.mauinews.com
2005.06.16,16-Jun-05,2005,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,20,Foot bitten,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound",Local6.com
2005.06.07,07-Jun-05,2005,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boogie boarding,F,11,Foot lacerated,N,11h30 ,,"C. Creswell, GSAF;  N. Kenney, NewsChannel 19"
2005.06.04,04-Jun-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing (Free diving),M,22,FATAL,Y,15h45,White shark,News24.com; SABC; H. Steele
2005.05.28,28-May-05,2005,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,33,Left foot bitten,N,17h30,"""small shark""","Daytona Beach News Journal, 5/29/2005; Orlando Sentinel, 5/30/2005, p.B3"
2005.05.27,27-May-05,2005,Unprovoked,USA,Florida,"Sand Key Beach, Clearwater, Pinellas County",Crouching in 2' of water,F,,Right arm & torso bitten,N,18h30,"18"" to 36"" shark","D.Wilhoit, The Ledger, 5/29/ 2005"
2005.05.25,25-May-05,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Surfing,M,32,Left buttock  & legs lacerated ,N,11h00,Raggedtooth shark,"C. Prince, East London Daily Dispatch, 5/26/2005;  SABC News"
2005.05.15,15-May-05,2005,Unprovoked,AUSTRALIA,Queensland,50 km east of Townsville,Spearfishing,M ,,Severe injury to lower leg,N,,Blacktip shark,"J. Anderson, Townsville Bulletin, 5/21/2005 "
2005.05.14,14-May-05,2005,Unprovoked,USA,Hawaii,"North Kihei, Maui",Kayaking,,,"No injury, shark bit kayak",N,11h00,"Tiger shark, 8' to 9' ",Hawaii Department of Land and Natural Resources
2005.05.02.R,02-May-05,2005,Sea Disaster,USA,South Carolina,Off Sullivans Island,Sea Disaster,M,Teens,No injury,N,,,"Gaffney Ledger, 5/2/2005"
2005.05.02,02-May-05,2005,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,47,"No injury, board damaged",N,10h30,"Tiger shark, 3 m [10']","T. Hurley, Honolulu Advertiser; L. Fujimoto, Maui News, 5/3/2005 "
2005.04.25,25-Apr-05,2005,Provoked,AUSTRALIA,New South Wales,Bermagui,Fishing,M,25,Laceration on left thigh PROVOKED INCIDENT,N,23h00,"Mako shark, 1.5 m [5'] ","Brisbane Courier Mail, 4/26/2005"
2005.04.17.R,17-Apr-05,2005,Unprovoked,AUSTRALIA,New South Wales,Crookhaven,,,,Shark-bitten surfboard found adrift,N,,,"Illawarra Mercury, 4/17/2005"
2005.04.16.a,16-Apr-05,2005,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,M,40,"No injury, board bitten",N,06h10,Bronze whaler shark,The Sun; Illwarra Mercury; Yahoo News
2005.04.13,13-Apr-05,2005,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,70,Right lower leg bitten,N,,1.8 m [6'] blacktip shark,Herald Tribune.com
2005.04.09,09-Apr-05,2005,Invalid,USA,Florida,"Central Gulf Coast, St. John County",Surfing,M,52,Foot injured ,N,,Shark involvement not confirmed,"WTSP TampaBays10.com; First Coast News, April 10, 2005 "
2005.04.06,06-Apr-05,2005,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",,F,,Left calf injured,N,,small hammerhead shark,WJXT News4Jax.com
2005.03.28,28-Mar-05,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,09h45,4 m [13'] shark,"ITN, 3/30/2005"
2005.03.27.R,Reported    27-Mar-2005,2005,Unprovoked,AUSTRALIA,New South Wales,,Surfing,M,,"No injury, shark rammed surfboard",N,,,"Sunday Age, 3/27/2005"
2005.03.19,19-Mar-05,2005,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,FATAL,Y,14h00,6 m [20'] white shark,"T. Peake, GSAF"
2005.03.10,10-Mar-05,2005,Invalid,SOUTH AFRICA,KwaZulu-Natal,Isipingo,,M,51,Shark bites post mortem,N,,"Tiger shark, 2.5 m [8.25']","J. Govander, Nokia Sea Rescue, SAPA"
2005.02.26,26-Feb-05,2005,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,18,Finger bitten,N,,Bull shark,Queensland Times
2005.02.22,22-Feb-05,2005,Provoked,USA,Florida,"Long Key, Monroe County",Spearfishing,M,,Speared shark bit his chest PROVOKED INCIDENT,N,,"Nurse shark, 3' ",http://www.foldabikes.com/CurrentEvents/Story/Florida.html
2005.02.16,16-Feb-05,2005,Unprovoked,USA,Hawaii,"Rocky Point, north shore of O'ahu",Surfing,M,,"No injury, knocked off board, shark bit board",N,14h30,"Tiger shark, 2.4 m [8']"," R. Collier, GSAF;  T. Winters, Honolulu Advertiser, 2/17/2005 "
2005.02.13,13-Feb-05,2005,Unprovoked,USA,Florida,Fort Lauderdale,Spearfishing,M,,Hand bitten,N,,1.8 m [6'] Caribbean reef shark,J. Herrera
2004.12.16,16-Dec-04,2004,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark ,"P. Kemp & T. Peake, GSAF"
2004.12.11,11-Dec-04,2004,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark,"Weekend Australian, 2/17/2005, et al."
2004.11.27,27-Nov-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark,J. Eager
2004.11.26,26-Nov-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,16,Lacerations on lower leg & foot,N,,Raggedtooth shark,J. Eager
2004.11.15,15-Nov-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark,"J.P. Botha, GSAF"
2004.11.11.b,11-Nov-04,2004,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,lli,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark,"R. Collier, GSAF                "
2004.10.30.a,30-Oct-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark,"J.P. Botha, GSAF"
2004.10.21,21-Oct-04,2004,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] ","The Border Mail, 10/23/2004"
2004.10.10,10-Oct-04,2004,Unprovoked,USA,California,"Limantour Beach, Point Reyes National Seashore",Surfing,M,,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark,"R. Collier, GSAF"
2004.10.09.b,09-Oct-04,2004,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ","The Maui News, 10/10/2004 "
2004.10.09.a,09-Oct-04,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey�s Bay,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']","Sunday Argus, 10/10/2004; W. Steenkamp, Cape Times 10/9/2004"
2004.10.02,02-Oct-04,2004,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,"No injury, knocked off surfboard",N,15h30,,"R. Collier, GSAF"
2004.10.01,01-Oct-04,2004,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,,"R. Collier, GSAF"
2004.09.25,25-Sep-04,2004,Boat,AUSTRALIA,Queensland,Batt Reef,Spearfishing/ filming,,,"No injury to occupants, boat damaged",N,12h00,"Tiger shark, 3 m [10'] ","R. Collier, GSAF"
2004.08.29,29-Aug-04,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,Heel bitten,N,17h30,,"T. Jerome, GSAF; Daytona Beach News Journal, 8/31/2004"
2004.08.20,20-Aug-04,2004,Unprovoked,USA,California,"204s, San Clemente, Orange County",Surfing,M,,Foot bitten,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark,"R. Collier, GSAF"
2004.08.15,15-Aug-04,2004,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark,"R. Collier & L. Levine, GSAF"
2004.08.06,06-Aug-04,2004,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark,"T. Jerome, GSAF"
2004.08.03,03-Aug-04,2004,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Spearfishing,M,30,Minor puncture wounds to leg,N,14h00,,"T. Peake, GSAF"
2004.08.00,Aug-04,2004,Boat,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,Fishing,,,No injury to occupants; boat damaged,N,,3 m to 4 m [10' to 13']  white shark,"J. Eager, scubaradio.com"
2004.07.31,31-Jul-04,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,Right foot bitten,N,13h00,,"C. Creswell, GSAF"
2004.07.19.R," 19-Jul-2004 Reported to have happened  ""on the weekend""",2004,Boat,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",Fishing,,,"No injury to occupants; shark mouthed motor, severed anchor line",N,,4 m [13'] white shark,"Channel 9; Northern Territory News, 7/20/2004, p.10 "
2004.07.10,10-Jul-04,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 sharks, 4.5 m & 3 m ","T. Peake, GSAF"
2004.06.26.b,26-Jun-04,2004,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark",R. Collier; GSAF
2004.06.26.a,26-Jun-04,2004,Invalid,AUSTRALIA,Western Australia,Floreat Beach,Crayfishing,M,,"No injury, shark made threat displays & diver fended it off with his speargun",N,,,"T. Peake, GSAF; Sunday Times (Perth)  6/27/2004, p.11"
2004.06.14,14-Jun-04,2004,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",In water with diving seabirds,F,,Foot bitten,N,,,Global Lifeguards
2004.06.10.b,10-Jun-04,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] ","T. Peake, GSAF"
2004.06.10.a,10-Jun-04,2004,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark,"T. Jerome, GSAF; Daytona Beach News Journal,, 6/11/2004, p.1C"
2004.06.02,02-Jun-04,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark,"J. Smetherham & B. Ndenze, Cape Times"
2004.05.28,28-May-04,2004,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark,"R. Collier, GSAF; B. Connor, Jr."
